what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1332815918038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332815918292
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1332815918297
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1332815918804
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332815919551
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332815919576
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1332815919593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332815931554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332815938482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332815944584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332815949895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332815950618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332815951657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332815955233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332815956427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332815956464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332816019210
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1332816020751
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332816022358
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1332816032205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332816037938
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1332816054289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332816065043
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1332816065077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332816068872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332816076960
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1332816077008
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332816077079
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1332816077500
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1332816077506
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1332816077636
